종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지
069500,1,KODEX 200,43130,2,355,0.83,43214.0,39.9522,8521906,366352,62625,국내 시장지수,KODEX,False,False,False
102110,1,TIGER 200,42970,2,360,0.84,43038.0,39.971,1650818,70651,31347,국내 시장지수,TIGER,False,False,False
252670,3,KODEX 200선물인버스2X,2055,5,-35,-1.67,2051.0,-51.2821,642008913,1329284,20227,국내 파생,KODEX,True,False,False
122630,3,KODEX 레버리지,27825,2,475,1.74,28022.0,92.0646,46157932,1275107,19088,국내 파생,KODEX,False,True,False
102780,2,KODEX 삼성그룹,10530,2,70,0.67,10545.0,37.6315,612363,6415,18522,국내 업종/테마,KODEX,False,False,False
278530,1,KODEX 200TR,13900,2,125,0.91,13910.0,40.1322,358712,4968,17577,국내 시장지수,KODEX,False,False,False
153130,6,KODEX 단기채권,102690,2,10,0.01,102685.0,0.1316,15291,1570,17437,채권,KODEX,False,False,False
278540,1,KODEX MSCI Korea TR,13900,2,85,0.62,13948.0,40.8975,276979,3854,17278,국내 시장지수,KODEX,False,False,False
310970,1,TIGER MSCI Korea TR,17525,2,150,0.86,17518.0,41.3176,207514,3620,16491,국내 시장지수,TIGER,False,False,False
273130,6,KODEX 종합채권(AA-이상)액티브,109870,2,15,0.01,109830.0,-0.4576,6949,763,14997,채권,KODEX,False,False,False
148020,1,KBSTAR 200,43265,2,400,0.93,43308.0,40.1412,654373,28209,13153,국내 시장지수,KBSTAR,False,False,False
114800,3,KODEX 인버스,3865,5,-35,-0.9,3868.0,-29.6664,104465568,405762,12252,국내 파생,KODEX,True,False,False
233740,1,KODEX 코스닥150 레버리지,16205,2,125,0.78,16339.0,47.5906,16490755,263501,11651,국내 시장지수,KODEX,False,True,False
305720,2,KODEX 2차전지산업,20175,2,325,1.64,20250.0,74.4288,4103690,82498,10390,국내 업종/테마,KODEX,False,False,False
152100,1,ARIRANG 200,43450,2,360,0.84,43534.0,40.1574,130861,5679,8581,국내 시장지수,ARIRANG,False,False,False
292150,2,TIGER TOP10,15440,2,185,1.21,15436.0,48.3228,878431,13482,8376,국내 업종/테마,TIGER,False,False,False
139260,2,TIGER 200 IT,40980,2,425,1.05,40976.0,58.9768,433317,17640,8171,국내 업종/테마,TIGER,False,False,False
214980,6,KODEX 단기채권PLUS,102950,2,10,0.01,102944.0,0.1605,4787,492,8146,채권,KODEX,False,False,False
105190,1,KINDEX 200,43425,2,385,0.89,43485.0,40.1497,284592,12286,7708,국내 시장지수,KINDEX,False,False,False
364980,2,TIGER KRX2차전지K-뉴딜,18515,2,255,1.4,18514.0,87.0901,2648744,48749,7600,국내 업종/테마,TIGER,False,False,False
